# PC1,PC2
-3.230596923828125000e+01,1.388722381591796875e+02
-4.423900222778320312e+01,1.130186386108398438e+02
-2.267606544494628906e+01,8.250533294677734375e+01
-1.508999328613281250e+02,-4.959728622436523438e+01
-1.498601989746093750e+02,-3.921653366088867188e+01
-1.605502777099609375e+02,-4.118793869018554688e+01
-1.501380920410156250e+02,-5.697431945800781250e+01
-6.190552520751953125e+01,9.889540863037109375e+01
-1.552069396972656250e+02,-4.588714599609375000e+01
-1.529427642822265625e+02,-3.280190658569335938e+01
-9.487790679931640625e+01,-1.199808807373046875e+02
-3.033211135864257812e+01,-6.122911453247070312e+01
-6.850019073486328125e+01,6.390367889404296875e+01
-6.172781372070312500e+01,1.085957031250000000e+02
-1.414358825683593750e+02,-4.333093643188476562e+01
6.855352020263671875e+01,9.032848358154296875e+01
7.040894317626953125e+01,8.603907775878906250e+01
5.550337219238281250e+01,1.003511581420898438e+02
8.405752563476562500e+01,6.766567993164062500e+01
7.361264801025390625e+01,4.926958084106445312e+01
6.861107635498046875e+01,5.929263305664062500e+01
1.334183807373046875e+02,-5.310139846801757812e+01
1.179970016479492188e+02,-1.303533630371093750e+02
1.164976501464843750e+02,2.502582073211669922e+00
-9.727981567382812500e+01,-1.150072326660156250e+02
1.345095520019531250e+02,-6.507567596435546875e+01
1.378313293457031250e+02,-7.998528289794921875e+01
1.452808227539062500e+02,-7.313906097412109375e+01
1.414628753662109375e+02,-5.470279312133789062e+01
1.462757110595703125e+02,-4.216868591308593750e+01
1.225435485839843750e+02,-4.876868820190429688e+01
1.312581939697265625e+02,-4.739948654174804688e+01
-1.113864440917968750e+02,-1.109720611572265625e+02
-2.600878524780273438e+01,1.399223785400390625e+02
-3.561696624755859375e+01,1.096633071899414062e+02
